序列号,店铺名称,店铺所在城市,区域,地址,电话,商户头像,店铺URL,人均消费_元,菜系,口味,环境,服务,点评数量_条,商户评分
58,北平人家(鼓楼南大街店),北京,昌平镇,鼓楼南大街东侧1号楼1-2层,,,http://www.dianping.com/shop/66168687,72,北京菜,8.8,8.8,8.4,393,准五星商户
59,神户赤童日式烤肉(金地广场店),北京,大望路,建国路91号金地中心C座3层-L309,,,http://www.dianping.com/shop/95489785,142,日本菜,9.1,9.1,8.7,731,五星商户
60,小吊梨汤(新奥店),北京,亚运村,湖景东路9号新奥购物中心B1,,,http://www.dianping.com/shop/18146141,86,北京菜,9.0,9.0,9.1,14147,五星商户
61,南门涮肉(东单店),北京,王府井/东单,建国门内大街26号新闻大厦3层,,,http://www.dianping.com/shop/21411786,116,火锅,9.1,9.1,9.1,3388,五星商户
62,和彩放题(渔阳店),北京,亮马桥/三元桥,新源西里中街18号渔阳饭店正门旁一层河畔花园内,,,http://www.dianping.com/shop/32579131,397,日本菜,9.1,9.2,9.0,5564,五星商户
63,鹿港小镇(华联万柳店),北京,万柳,巴沟路2号BHGMAII华联万柳购物中心1层底商,,,http://www.dianping.com/shop/45400407,103,台湾菜,8.1,8.6,8.2,465,四星商户
64,聚焦鲜牛肉潮汕火锅,北京,总部基地,五圈路总部基地盈坤世纪H座一层,,,http://www.dianping.com/shop/75098357,113,火锅,9.3,9.4,9.4,1832,五星商户
65,硬货海鲜饭(创始店),北京,亮马桥/三元桥,三元桥曙光西里甲6号院时间国际9号楼1层19室,,,http://www.dianping.com/shop/22875914,113,海鲜,9.1,8.6,9.2,6628,五星商户
66,金麒麟海鲜自助餐厅,北京,北京欢乐谷,东四环南路小武基桥北200米路东,,,http://www.dianping.com/shop/93616838,446,自助餐,9.2,9.3,9.3,310,五星商户
67,重八牛府(双榆树店),北京,双榆树,双榆树东里15号北京一零一中学西门西行30米,,,http://www.dianping.com/shop/17677116,95,火锅,9.1,8.5,9.2,6201,五星商户
68,小万食堂,北京,798/大山子,798艺术区二号路B区十号,,,http://www.dianping.com/shop/2776777,80,川菜,8.1,7.9,7.9,1240,四星商户
69,牛排家(安贞店),北京,安定门,安定路5号院6号楼中海环宇荟购物中心四层,,,http://www.dianping.com/shop/97342380,304,西餐,9.1,9.2,9.2,277,五星商户
70,初色海鲜自助火锅(七里庄店),北京,六里桥/丽泽桥,万丰路302号,,,http://www.dianping.com/shop/17190553,293,自助餐,9.1,8.8,8.7,4378,五星商户
71,海底捞火锅(王府井in88店),北京,王府井/东单,王府井大街i88百货八层,,,http://www.dianping.com/shop/4212460,117,火锅,9.1,9.1,9.2,5014,五星商户
72,局气(西单店),北京,西单,太仆寺街21号府右街宾馆1层,,,http://www.dianping.com/shop/20942012,98,北京菜,8.6,9.1,9.0,13941,准五星商户
73,AKIMOTO秋本(一店),北京,双井,百子湾路与西大望路交叉口西行50米路北,,,http://www.dianping.com/shop/21825585,537,日本菜,8.8,8.9,8.7,486,准五星商户
74,基辅罗斯餐厅(翠微店),北京,公主坟/万寿路,玉渊潭南路普惠南里13号,,,http://www.dianping.com/shop/510875,169,俄罗斯菜,8.9,8.9,8.8,10944,五星商户
75,TRB Hutong,北京,沙滩/美术馆灯市口,沙滩北街23号,,,http://www.dianping.com/shop/5455635,911,西餐,8.7,9.3,9.2,4383,五星商户
